,fullname,team,team_code,birthdate,country,height,weight,birthplace,one_day_race_pts,gc_pts,tt_pts,sprint_pts,climb_pts,pcs_ranking,uci_ranking,number_wins,pts_pcs_2023,rank_pcs_2023,pts_pcs_2022,rank_pcs_2022,pts_pcs_2021,rank_pcs_2021,pts_pcs_2020,rank_pcs_2020,pts_pcs_2019,rank_pcs_2019,rider_code,rider_url
200,mick van dijke ,jumbo-visma,team-jumbo-visma-2023,2000-03-15,netherlands,1.9,74.0,colijnsplaat,53,242,162,141,86,301,349,0,0,0,193,294,156,334,24,816,0,0,mick-van-dijke,https://www.procyclingstats.com/rider/mick-van-dijke
201,gijs  leemreize ,jumbo-visma,team-jumbo-visma-2023,1999-10-23,netherlands,1.9,74.0,ruurlo,15,175,38,9,376,263,415,0,0,0,239,249,79,529,10,1114,0,0,gijs-leemreize,https://www.procyclingstats.com/rider/gijs-leemreize
202,thomas  gloag ,jumbo-visma,team-jumbo-visma-2023,2001-09-13,great britain,1.75,60.0,east dulwich,53,97,0,4,217,359,352,0,91,109,63,633,33,842,0,0,0,0,thomas-gloag,https://www.procyclingstats.com/rider/thomas-gloag
203,tim van dijke ,jumbo-visma,team-jumbo-visma-2023,2000-03-15,netherlands,1.9,74.0,goes,28,24,141,86,14,731,1063,2,10,540,43,803,40,777,6,1282,0,0,tim-van-dijke,https://www.procyclingstats.com/rider/tim-van-dijke
204,michel  hessmann ,jumbo-visma,team-jumbo-visma-2023,2001-04-06,germany,1.9,78.0,münster,22,47,45,11,41,665,382,0,10,524,51,719,18,1115,2,1580,0,0,michel-hessmann,https://www.procyclingstats.com/rider/michel-hessmann
205,milan  vader ,jumbo-visma,team-jumbo-visma-2023,1996-02-18,netherlands,1.73,63.0,middelburg,10,10,1,3,40,1220,1232,0,18,364,5,1794,0,0,0,0,0,0,milan-vader,https://www.procyclingstats.com/rider/milan-vader
206,josé joaquín  rojas ,movistar team,movistar-team-2023,1985-06-08,spain,1.77,70.0,cieza,2945,1971,129,4528,3624,374,559,10,59,162,84,530,108,440,81,374,282,223,jose-joaquin-rojas,https://www.procyclingstats.com/rider/jose-joaquin-rojas
207,enric  mas ,movistar team,movistar-team-2023,1995-01-07,spain,1.77,61.0,artà,654,3321,562,56,4340,17,17,6,107,97,1248,15,1139,21,719,36,936,40,enric-mas,https://www.procyclingstats.com/rider/enric-mas
208,fernando  gaviria ,movistar team,movistar-team-2023,1994-08-19,colombia,1.8,71.0,la ceja,1628,156,77,3938,1102,98,128,50,137,70,463,122,424,120,395,86,849,54,fernando-gaviria,https://www.procyclingstats.com/rider/fernando-gaviria
209,gorka  izagirre ,movistar team,movistar-team-2023,1987-10-07,spain,1.76,66.0,ormaiztegi,1378,2286,758,268,2868,287,324,9,120,88,85,526,209,250,415,79,533,108,gorka-izagirre,https://www.procyclingstats.com/rider/gorka-izagirre
210,nelson  oliveira ,movistar team,movistar-team-2023,1989-03-06,portugal,1.8,67.0,anadia,491,1061,3057,60,930,334,438,6,5,677,168,319,375,138,202,165,278,226,nelson-oliveira,https://www.procyclingstats.com/rider/nelson-oliveira
211,ruben  guerreiro ,movistar team,movistar-team-2023,1994-07-06,portugal,1.78,65.0,montijo,597,1376,31,218,2002,64,68,5,204,26,550,87,303,176,262,134,413,150,ruben-guerreiro,https://www.procyclingstats.com/rider/ruben-guerreiro
212,alex  aranburu ,movistar team,movistar-team-2023,1995-09-19,spain,1.78,63.0,ezkio-itsaso,1027,538,200,344,1679,80,79,6,81,123,545,91,616,73,320,116,354,183,alex-aranburu,https://www.procyclingstats.com/rider/alex-aranburu
213,imanol  erviti ,movistar team,movistar-team-2023,1983-11-15,spain,1.89,82.0,pamplona,744,921,437,232,446,848,1501,3,10,492,30,953,171,307,56,490,95,624,imanol-erviti,https://www.procyclingstats.com/rider/imanol-erviti
214,iván  garcía cortina ,movistar team,movistar-team-2023,1995-11-20,spain,1.83,77.0,gijón,1304,258,110,794,996,83,64,3,70,142,551,86,317,168,202,168,512,120,ivan-garcia-cortina,https://www.procyclingstats.com/rider/ivan-garcia-cortina
215,iván ramiro  sosa ,movistar team,movistar-team-2023,1997-10-31,colombia,1.68,58.0,pasca,176,1372,1,7,988,144,169,17,0,0,526,98,201,265,74,407,551,103,ivan-ramiro-sosa,https://www.procyclingstats.com/rider/ivan-ramiro-sosa
216,carlos  verona ,movistar team,movistar-team-2023,1992-11-04,spain,1.86,68.0,san lorenzo de el escorial,452,1176,21,38,1120,145,227,1,59,163,467,118,121,399,202,167,150,415,carlos-verona,https://www.procyclingstats.com/rider/carlos-verona
217,gregor  mühlberger ,movistar team,movistar-team-2023,1994-04-04,austria,1.8,64.0,haidershofen,685,646,233,335,916,411,832,6,6,633,120,406,31,866,283,128,269,241,gregor-muhlberger,https://www.procyclingstats.com/rider/gregor-muhlberger
218,antonio  pedrero ,movistar team,movistar-team-2023,1991-10-23,spain,1.77,60.0,terrassa,185,768,14,42,836,201,220,3,17,391,300,201,330,160,86,357,184,348,antonio-pedrero,https://www.procyclingstats.com/rider/antonio-pedrero
219,gonzalo  serrano ,movistar team,movistar-team-2023,1994-08-17,spain,1.77,65.0,madrid,441,431,32,100,769,205,183,4,32,253,310,192,433,118,129,263,149,420,gonzalo-serrano,https://www.procyclingstats.com/rider/gonzalo-serrano
220,óscar  rodríguez ,movistar team,movistar-team-2023,1995-05-06,spain,1.79,63.0,burlada,160,628,158,10,700,365,391,1,14,442,155,338,236,233,126,271,354,182,oscar-rodriguez,https://www.procyclingstats.com/rider/oscar-rodriguez
221,max  kanter ,movistar team,movistar-team-2023,1997-10-22,germany,1.76,68.0,cottbus,425,163,32,834,316,129,132,0,41,210,438,135,86,495,153,224,17,1403,max-kanter,https://www.procyclingstats.com/rider/max-kanter
222,matteo  jorgenson ,movistar team,movistar-team-2023,1999-07-01,united states,1.9,65.0,walnut creek,116,565,64,56,711,90,173,2,232,17,410,144,209,249,48,540,22,1288,matteo-jorgenson,https://www.procyclingstats.com/rider/matteo-jorgenson
223,einer augusto  rubio ,movistar team,movistar-team-2023,1998-02-22,colombia,1.64,56.0,chíquiza,83,507,34,5,567,143,170,1,184,34,236,251,164,322,50,516,38,1016,einer-augusto-rubio-reyes,https://www.procyclingstats.com/rider/einer-augusto-rubio-reyes
224,lluís  mas ,movistar team,movistar-team-2023,1989-10-15,spain,1.81,69.0,ses salines,197,383,257,297,256,636,1756,1,15,421,54,696,72,553,17,927,83,699,lluis-guillermo-mas,https://www.procyclingstats.com/rider/lluis-guillermo-mas
225,mathias  norsgaard ,movistar team,movistar-team-2023,1997-05-05,denmark,2.02,81.0,silkeborg,79,31,422,106,0,660,725,1,5,737,67,610,81,513,0,0,99,601,mathias-norsgaard,https://www.procyclingstats.com/rider/mathias-norsgaard
226,will  barta ,movistar team,movistar-team-2023,1996-01-04,united states,1.8,61.0,boise,44,234,435,16,206,431,587,0,59,164,62,637,15,1194,144,237,33,1077,william-barta,https://www.procyclingstats.com/rider/william-barta
227,jorge  arcas ,movistar team,movistar-team-2023,1992-07-08,spain,1.87,68.0,sabiñánigo,137,175,49,22,138,577,1234,0,0,0,80,553,55,645,47,549,49,922,jorge-arcas,https://www.procyclingstats.com/rider/jorge-arcas
228,albert  torres ,movistar team,movistar-team-2023,1990-04-26,spain,1.8,70.0,ciutadella de menorca,159,115,70,394,61,787,0,0,10,538,46,770,50,684,60,465,0,0,albert-torres,https://www.procyclingstats.com/rider/albert-torres
229,sergio  samitier ,movistar team,movistar-team-2023,1995-08-31,spain,1.81,63.0,barbastro,25,251,0,1,193,1510,2277,0,5,731,10,1503,61,616,155,221,82,705,sergio-samitier,https://www.procyclingstats.com/rider/sergio-samitier
230,abner  gonzález ,movistar team,movistar-team-2023,2000-10-09,puerto rico,1.74,60.0,moca,127,72,87,10,103,705,578,4,14,454,42,815,164,321,0,0,25,1220,abner-gonzalez-rivera,https://www.procyclingstats.com/rider/abner-gonzalez-rivera
231,oier  lazkano ,movistar team,movistar-team-2023,1999-11-07,spain,1.89,74.0,vitoria-gasteiz,26,128,38,4,104,355,573,2,34,245,128,387,25,956,34,677,0,0,oier-lazkano,https://www.procyclingstats.com/rider/oier-lazkano
232,johan  jacobs ,movistar team,movistar-team-2023,1997-03-01,switzerland,1.92,78.0,winterthur,139,41,8,24,18,703,1315,0,10,510,46,764,49,694,65,444,11,1640,johan-jacobs,https://www.procyclingstats.com/rider/johan-jacobs
233,juri  hollmann ,movistar team,movistar-team-2023,1999-08-30,germany,1.85,70.0,berlin,66,69,145,3,26,1049,1059,0,10,505,22,1115,71,562,15,996,3,2248,juri-hollmann,https://www.procyclingstats.com/rider/juri-hollmann
234,vinicius  rangel ,movistar team,movistar-team-2023,2001-05-26,brazil,1.78,64.0,cabo frio,46,0,20,2,1,954,883,1,0,0,32,936,16,1151,0,0,0,0,vinicius-rangel-costa,https://www.procyclingstats.com/rider/vinicius-rangel-costa
235,iván  romeo ,movistar team,movistar-team-2023,2003-08-16,spain,1.93,75.0,valladolid,5,11,18,0,6,1285,1227,0,10,522,6,1740,0,0,0,0,0,0,ivan-romeo,https://www.procyclingstats.com/rider/ivan-romeo
236,julian  alaphilippe ,soudal - quick step,soudal-quick-step-2023,1992-06-11,france,1.73,62.0,saint-amand-montrond,5958,2381,1287,673,6934,135,115,40,159,49,471,114,1965,4,1119,10,2260,3,julian-alaphilippe,https://www.procyclingstats.com/rider/julian-alaphilippe
237,remco  evenepoel ,soudal - quick step,soudal-quick-step-2023,2000-01-25,belgium,1.71,61.0,aalst,1614,2704,1833,104,2099,2,2,38,377,5,2733,3,1200,17,898,18,916,45,remco-evenepoel,https://www.procyclingstats.com/rider/remco-evenepoel
238,yves  lampaert ,soudal - quick step,soudal-quick-step-2023,1991-04-10,belgium,1.8,75.0,izegem,2930,1089,2145,1554,752,153,168,15,21,339,371,158,647,64,702,37,961,37,yves-lampaert,https://www.procyclingstats.com/rider/yves-lampaert
239,dries  devenyns ,soudal - quick step,soudal-quick-step-2023,1983-07-22,belgium,1.77,65.0,leuven,1579,1831,794,665,1788,881,1812,7,10,517,30,968,57,638,388,88,208,308,dries-devenyns,https://www.procyclingstats.com/rider/dries-devenyns
240,florian  sénéchal ,soudal - quick step,soudal-quick-step-2023,1993-07-10,france,1.79,77.0,cambrai,2809,664,196,1616,912,169,202,5,5,718,406,146,807,45,735,33,486,129,florian-senechal,https://www.procyclingstats.com/rider/florian-senechal
241,tim  merlier ,soudal - quick step,soudal-quick-step-2023,1992-10-30,belgium,1.85,80.0,wortegem-petegem,2521,58,3,3104,130,22,22,27,204,25,951,36,1164,19,487,65,380,167,tim-merlier,https://www.procyclingstats.com/rider/tim-merlier
242,fabio  jakobsen ,soudal - quick step,soudal-quick-step-2023,1996-08-31,netherlands,1.81,78.0,gorinchem,1514,84,38,3054,292,65,66,39,88,114,854,46,700,57,283,129,773,64,fabio-jakobsen,https://www.procyclingstats.com/rider/fabio-jakobsen
243,kasper  asgreen ,soudal - quick step,soudal-quick-step-2023,1995-02-08,denmark,1.92,75.0,kolding,1432,504,1755,156,1152,349,160,10,0,0,275,218,1161,20,431,71,788,63,kasper-asgreen,https://www.procyclingstats.com/rider/kasper-asgreen
244,michael  mørkøv ,soudal - quick step,soudal-quick-step-2023,1985-04-30,denmark,1.83,71.0,kokkedal,1163,918,339,1497,462,398,495,5,18,380,118,413,305,175,148,229,419,146,michael-morkov,https://www.procyclingstats.com/rider/michael-morkov
245,fausto  masnada ,soudal - quick step,soudal-quick-step-2023,1993-11-06,italy,1.82,65.0,bergamo,569,1508,166,55,1464,639,878,6,1,857,219,266,621,71,427,73,596,91,fausto-masnada,https://www.procyclingstats.com/rider/fausto-masnada
246,mattia  cattaneo ,soudal - quick step,soudal-quick-step-2023,1990-10-25,italy,1.84,67.0,alzano lombardo,680,1260,1314,160,1574,495,895,3,16,406,82,546,769,51,178,186,411,152,mattia-cattaneo,https://www.procyclingstats.com/rider/mattia-cattaneo
247,pieter  serry ,soudal - quick step,soudal-quick-step-2023,1988-11-21,belgium,1.86,66.0,aalter,1079,779,230,496,1110,654,955,0,17,382,49,737,64,608,75,399,193,334,pieter-serry,https://www.procyclingstats.com/rider/pieter-serry
248,jan  hirt ,soudal - quick step,soudal-quick-step-2023,1991-01-21,czech republic,1.81,62.0,třebíč,129,1483,30,118,1532,156,133,5,24,302,575,79,126,386,81,375,380,168,jan-hirt,https://www.procyclingstats.com/rider/jan-hirt
249,davide  ballerini ,soudal - quick step,soudal-quick-step-2023,1994-09-21,italy,1.83,77.0,cantù,1289,160,133,821,860,185,224,10,71,140,281,216,497,102,334,106,313,202,davide-ballerini,https://www.procyclingstats.com/rider/davide-ballerini
250,rémi  cavagna ,soudal - quick step,soudal-quick-step-2023,1995-08-10,france,1.86,78.0,clermont-ferrand,365,763,2066,178,570,193,243,8,54,171,279,217,354,147,339,105,360,179,remi-cavagna,https://www.procyclingstats.com/rider/remi-cavagna
251,josef  černý ,soudal - quick step,soudal-quick-step-2023,1993-05-11,czech republic,1.88,77.0,frýdek-místek,189,642,1264,378,370,333,437,10,12,468,153,342,194,272,363,95,111,545,josef-cerny,https://www.procyclingstats.com/rider/josef-cerny
252,bert van lerberghe ,soudal - quick step,soudal-quick-step-2023,1992-09-29,belgium,1.9,83.0,kortrijk,1077,108,48,1260,78,388,378,0,12,469,148,347,133,372,103,314,30,1119,bert-van-lerberghe,https://www.procyclingstats.com/rider/bert-van-lerberghe
253,james  knox ,soudal - quick step,soudal-quick-step-2023,1995-11-04,great britain,1.73,58.0,kendal,116,999,52,26,860,448,767,0,5,707,104,448,159,332,290,125,501,124,james-knox,https://www.procyclingstats.com/rider/james-knox
254,tim  declercq ,soudal - quick step,soudal-quick-step-2023,1989-03-21,belgium,1.9,78.0,leuven,697,413,26,424,106,880,0,0,0,0,81,551,67,592,301,121,125,483,tim-declercq,https://www.procyclingstats.com/rider/tim-declercq
255,andrea  bagioli ,soudal - quick step,soudal-quick-step-2023,1999-03-23,italy,1.76,60.0,sondrio,602,258,84,15,870,142,108,4,79,126,349,172,320,165,321,115,80,713,andrea-bagioli,https://www.procyclingstats.com/rider/andrea-bagioli
256,mauri  vansevenant ,soudal - quick step,soudal-quick-step-2023,1999-06-01,belgium,1.75,60.0,ostend,393,578,35,23,770,102,126,2,167,44,489,105,442,117,20,872,54,880,mauri-vansevenant,https://www.procyclingstats.com/rider/mauri-vansevenant
257,mauro  schmid ,soudal - quick step,soudal-quick-step-2023,1999-12-04,switzerland,1.87,70.0,bülach,186,491,272,5,690,61,51,3,177,37,609,73,115,415,51,509,0,0,mauro-schmid,https://www.procyclingstats.com/rider/mauro-schmid
258,jannik  steimle ,soudal - quick step,soudal-quick-step-2023,1996-04-04,germany,1.87,73.0,weilheim an der teck,267,332,538,412,296,434,388,6,18,378,97,475,193,274,223,152,214,299,jannik-steimle,https://www.procyclingstats.com/rider/jannik-steimle
259,casper  pedersen ,soudal - quick step,soudal-quick-step-2023,1996-03-15,denmark,1.86,74.0,copenhagen,383,291,174,340,160,384,379,3,117,90,20,1151,112,426,207,159,102,581,casper-pedersen,https://www.procyclingstats.com/rider/casper-pedersen
260,louis  vervaeke ,soudal - quick step,soudal-quick-step-2023,1993-10-06,belgium,1.81,68.0,ronse,308,433,173,28,422,466,595,0,67,144,78,563,112,429,102,316,40,997,louis-vervaeke,https://www.procyclingstats.com/rider/louis-vervaeke
261,ilan van wilder ,soudal - quick step,soudal-quick-step-2023,2000-05-14,belgium,1.71,64.0,jette,130,358,273,16,558,191,203,0,175,38,227,259,110,434,26,777,51,901,ilan-van-wilder,https://www.procyclingstats.com/rider/ilan-van-wilder
262,ethan  vernon ,soudal - quick step,soudal-quick-step-2023,2000-08-26,great britain,1.88,74.0,bedford,205,10,159,284,113,165,172,6,175,39,232,255,24,989,0,0,6,1990,ethan-vernon,https://www.procyclingstats.com/rider/ethan-vernon
263,stan van tricht ,soudal - quick step,soudal-quick-step-2023,1999-09-20,belgium,1.74,64.0,leuven,186,24,15,75,66,377,411,0,37,231,109,432,75,543,0,0,0,0,stan-van-tricht,https://www.procyclingstats.com/rider/stan-van-tricht
264,martin  svrček ,soudal - quick step,soudal-quick-step-2023,2003-02-17,slovakia,1.75,66.0,nesluša,7,0,22,0,0,1742,1110,0,0,0,7,1729,0,0,0,0,0,0,martin-svrcek,https://www.procyclingstats.com/rider/martin-svrcek
265,nacer  bouhanni ,team arkéa samsic,team-arkea-samsic-2023,1990-07-25,france,1.75,65.0,épinal,4478,464,51,7777,1550,215,144,70,2,838,388,153,520,97,538,60,291,216,nacer-bouhanni,https://www.procyclingstats.com/rider/nacer-bouhanni
266,warren  barguil ,team arkéa samsic,team-arkea-samsic-2023,1991-10-28,france,1.82,61.0,hennebont,2336,2653,106,232,4361,71,61,8,34,243,766,52,529,90,671,39,606,90,warren-barguil,https://www.procyclingstats.com/rider/warren-barguil
267,hugo  hofstetter ,team arkéa samsic,team-arkea-samsic-2023,1994-02-13,france,1.7,65.0,altkirch,2537,135,0,1932,520,52,49,3,124,83,889,43,477,106,326,110,486,128,hugo-hofstetter,https://www.procyclingstats.com/rider/hugo-hofstetter
268,maxime  bouet ,team arkéa samsic,team-arkea-samsic-2023,1986-11-03,france,1.84,67.0,belley,727,1549,397,732,1122,547,529,5,0,0,140,362,124,390,9,1173,30,1111,maxime-bouet,https://www.procyclingstats.com/rider/maxime-bouet
269,nicolas  edet ,team arkéa samsic,team-arkea-samsic-2023,1987-12-02,france,1.76,60.0,la ferté-bernard,475,1575,74,484,1442,284,311,2,0,0,205,277,54,662,155,222,256,253,nicolas-edet,https://www.procyclingstats.com/rider/nicolas-edet
270,laurent  pichon ,team arkéa samsic,team-arkea-samsic-2023,1986-07-19,france,1.78,69.0,quimper,1670,634,84,1404,324,309,320,3,0,0,187,300,100,461,34,673,31,1099,laurent-pichon,https://www.procyclingstats.com/rider/laurent-pichon
271,anthony  delaplace ,team arkéa samsic,team-arkea-samsic-2023,1989-09-11,france,1.81,65.0,valognes,1127,843,539,797,490,304,298,2,5,713,190,297,186,285,76,398,205,312,anthony-delaplace,https://www.procyclingstats.com/rider/anthony-delaplace
272,amaury  capiot ,team arkéa samsic,team-arkea-samsic-2023,1993-06-25,belgium,1.87,69.0,tongeren,1790,203,10,1721,470,111,114,2,0,0,658,63,272,203,349,102,374,170,amaury-capiot,https://www.procyclingstats.com/rider/amaury-capiot
273,daniel  mclay ,team arkéa samsic,team-arkea-samsic-2023,1992-01-03,great britain,1.85,72.0,wellington,1081,210,100,2209,182,275,408,10,0,0,296,206,240,229,141,242,132,458,daniel-mclay,https://www.procyclingstats.com/rider/daniel-mclay
274,luca  mozzato ,team arkéa samsic,team-arkea-samsic-2023,1998-02-15,italy,1.78,67.0,arzignano,1003,86,0,820,363,66,67,0,47,187,658,64,363,143,129,262,44,957,luca-mozzato,https://www.procyclingstats.com/rider/luca-mozzato
275,élie  gesbert ,team arkéa samsic,team-arkea-samsic-2023,1995-07-01,france,1.81,63.0,saint-brieuc,282,666,12,110,764,335,364,2,32,255,263,230,322,164,6,1288,261,250,elie-gesbert,https://www.procyclingstats.com/rider/elie-gesbert
276,clément  champoussin ,team arkéa samsic,team-arkea-samsic-2023,1998-05-29,france,1.8,61.0,nice,457,374,71,14,1034,259,286,1,51,177,268,227,500,101,101,322,123,491,clement-champoussin,https://www.procyclingstats.com/rider/clement-champoussin
277,łukasz  owsian ,team arkéa samsic,team-arkea-samsic-2023,1990-02-24,poland,1.81,66.0,toruń,326,548,98,296,130,481,621,0,10,535,147,350,68,585,27,771,73,758,lukasz-owsian,https://www.procyclingstats.com/rider/lukasz-owsian
278,jenthe  biermans ,team arkéa samsic,team-arkea-samsic-2023,1995-10-30,belgium,1.84,78.0,geel,600,252,56,182,268,150,138,1,166,45,232,254,124,392,35,661,148,424,jenthe-biermans,https://www.procyclingstats.com/rider/jenthe-biermans
279,matis  louvel ,team arkéa samsic,team-arkea-samsic-2023,1999-07-19,france,1.87,73.0,mont saint aignan,755,80,67,70,262,106,89,2,30,261,564,84,228,235,17,933,9,1751,matis-louvel,https://www.procyclingstats.com/rider/matis-louvel
280,cristián  rodríguez ,team arkéa samsic,team-arkea-samsic-2023,1995-03-03,spain,1.78,56.0,el ejido,136,624,36,1,446,357,387,2,62,154,207,275,247,224,67,436,73,759,cristian-rodriguez,https://www.procyclingstats.com/rider/cristian-rodriguez
281,kévin  vauquelin ,team arkéa samsic,team-arkea-samsic-2023,2001-04-26,france,1.76,69.0,bayeux,77,510,237,46,288,73,78,2,179,36,549,88,28,920,0,0,0,0,kevin-vauquelin,https://www.procyclingstats.com/rider/kevin-vauquelin
282,kévin  ledanois ,team arkéa samsic,team-arkea-samsic-2023,1993-07-13,france,1.81,67.0,noisy-le-sec,404,221,75,246,176,656,835,0,43,203,18,1195,43,745,93,334,113,532,kevin-ledanois,https://www.procyclingstats.com/rider/kevin-ledanois
283,clément  russo ,team arkéa samsic,team-arkea-samsic-2023,1995-01-20,france,1.86,73.0,lyon,356,186,42,276,88,418,728,1,16,397,119,409,157,333,31,708,213,300,clement-russo,https://www.procyclingstats.com/rider/clement-russo
284,thibault  guernalec ,team arkéa samsic,team-arkea-samsic-2023,1997-07-31,france,1.85,71.0,châteaulin,46,252,553,28,97,756,787,0,20,350,112,426,97,464,90,346,61,828,thibault-guernalec,https://www.procyclingstats.com/rider/thibault-guernalec
285,simon  guglielmi ,team arkéa samsic,team-arkea-samsic-2023,1997-07-01,france,1.8,66.0,chambéry,115,106,3,32,268,477,752,0,11,482,111,427,60,621,52,502,10,1732,simon-guglielmi,https://www.procyclingstats.com/rider/simon-guglielmi
286,david  dekker ,team arkéa samsic,team-arkea-samsic-2023,1998-02-02,netherlands,1.9,80.0,turnhout,112,10,73,334,47,1025,1825,0,18,375,10,1532,120,401,70,418,24,1248,david-dekker,https://www.procyclingstats.com/rider/david-dekker
287,alan  riou ,team arkéa samsic,team-arkea-samsic-2023,1997-04-02,france,1.76,68.0,lannion,190,10,65,100,68,1065,2236,1,0,0,31,948,127,385,0,0,18,1375,alan-riou,https://www.procyclingstats.com/rider/alan-riou
288,michel  ries ,team arkéa samsic,team-arkea-samsic-2023,1998-03-11,luxembourg,1.84,67.0,luxembourg,100,94,50,1,136,661,563,0,4,778,57,671,62,613,47,542,30,1110,michel-ries,https://www.procyclingstats.com/rider/michel-ries
289,louis  barré ,team arkéa samsic,team-arkea-samsic-2023,2000-04-06,france,1.84,68.0,nantes,66,46,0,4,46,452,479,0,28,272,80,554,8,1478,0,0,1,2490,louis-barre,https://www.procyclingstats.com/rider/louis-barre
290,donavan  grondin ,team arkéa samsic,team-arkea-samsic-2023,2000-09-26,france,1.83,77.0,saint-pierre,82,11,8,55,18,685,638,0,13,456,77,566,7,1554,1,1678,2,2446,donavan-grondin,https://www.procyclingstats.com/rider/donavan-grondin
291,alessandro  verre ,team arkéa samsic,team-arkea-samsic-2023,2001-11-17,italy,1.7,59.0,marsicovetere,60,13,1,15,89,613,643,0,15,438,57,677,13,1262,0,0,0,0,alessandro-verre,https://www.procyclingstats.com/rider/alessandro-verre
292,mathis le berre ,team arkéa samsic,team-arkea-samsic-2023,2001-04-16,france,1.76,68.0,saint-brieuc,27,46,0,7,22,585,540,0,22,323,56,682,0,0,0,0,0,0,mathis-le-berre,https://www.procyclingstats.com/rider/mathis-le-berre
293,andrii  ponomar ,team arkéa samsic,team-arkea-samsic-2023,2002-09-05,ukraine,1.83,65.0,chernihiv,34,44,0,0,17,916,1437,1,0,0,35,893,43,752,0,0,0,0,andrii-ponomar,https://www.procyclingstats.com/rider/andrii-ponomar
294,ewen  costiou ,team arkéa samsic,team-arkea-samsic-2023,2002-11-10,france,1.76,64.0,brest,19,23,26,10,32,742,960,0,24,304,27,1026,1,2131,0,0,0,0,ewen-costiou,https://www.procyclingstats.com/rider/ewen-costiou
295,michael  matthews ,team jayco alula,team-jayco-alula-2023,1990-09-26,australia,1.78,72.0,canberra,6409,812,1602,3228,6430,18,9,39,148,61,1163,22,921,30,656,43,1102,27,michael-matthews,https://www.procyclingstats.com/rider/michael-matthews
296,simon  yates ,team jayco alula,team-jayco-alula-2023,1992-08-07,great britain,1.72,58.0,bury,765,4315,1013,217,5476,28,21,32,288,9,866,45,907,32,665,40,704,75,simon-yates,https://www.procyclingstats.com/rider/simon-yates
297,dylan  groenewegen ,team jayco alula,team-jayco-alula-2023,1993-06-21,netherlands,1.77,70.0,amsterdam,3090,290,15,6464,392,29,37,65,121,87,1000,30,295,179,146,232,1351,15,dylan-groenewegen,https://www.procyclingstats.com/rider/dylan-groenewegen
298,zdeněk  štybar ,team jayco alula,team-jayco-alula-2023,1985-12-11,czech republic,1.83,68.0,planá,3719,1434,225,1742,1846,371,470,18,5,684,146,351,279,200,243,142,953,39,zdenek-stybar,https://www.procyclingstats.com/rider/zdenek-stybar
299,luka  mezgec ,team jayco alula,team-jayco-alula-2023,1988-06-27,slovenia,1.83,72.0,kranj,1401,515,33,2880,1528,262,271,19,12,467,247,246,207,254,517,62,427,142,luka-mezgec,https://www.procyclingstats.com/rider/luka-mezgec
300,luke  durbridge ,team jayco alula,team-jayco-alula-2023,1991-04-09,australia,1.87,78.0,greenmount,760,1203,2245,206,287,546,686,13,17,392,78,565,240,230,67,435,170,371,luke-durbridge,https://www.procyclingstats.com/rider/luke-durbridge
301,alessandro de marchi ,team jayco alula,team-jayco-alula-2023,1986-05-19,italy,1.81,65.0,san daniele del friuli,1011,563,498,151,1868,462,937,6,5,697,101,461,401,127,144,238,145,430,alessandro-de-marchi,https://www.procyclingstats.com/rider/alessandro-de-marchi
302,christopher  juul-jensen ,team jayco alula,team-jayco-alula-2023,1989-07-06,denmark,1.83,73.0,kilmacanogue,667,1032,357,179,328,668,0,3,5,670,55,688,101,457,50,522,141,441,christopher-juul-jensen,https://www.procyclingstats.com/rider/christopher-juul-jensen
303,lucas  hamilton ,team jayco alula,team-jayco-alula-2023,1996-02-12,australia,1.84,71.0,ararat,220,1042,84,186,1156,290,510,4,10,504,190,298,399,130,192,176,418,147,lucas-hamilton,https://www.procyclingstats.com/rider/lucas-hamilton
304,lawson  craddock ,team jayco alula,team-jayco-alula-2023,1992-02-20,united states,1.78,69.0,houston,178,806,1474,182,810,424,746,2,0,0,120,405,132,374,46,556,361,178,lawson-craddock,https://www.procyclingstats.com/rider/lawson-craddock
305,amund grøndahl  jansen ,team jayco alula,team-jayco-alula-2023,1994-02-11,norway,1.87,83.0,nes,816,507,44,490,263,911,0,2,0,0,35,904,41,765,40,604,727,69,amund-grondahl-jansen,https://www.procyclingstats.com/rider/amund-grondahl-jansen
306,eddie  dunbar ,team jayco alula,team-jayco-alula-2023,1996-09-01,ireland,1.7,57.0,banteer,306,897,151,92,667,239,238,2,0,0,269,225,134,368,195,173,414,149,edward-irl-dunbar,https://www.procyclingstats.com/rider/edward-irl-dunbar
307,tsgabu  grmay ,team jayco alula,team-jayco-alula-2023,1991-08-25,ethiopia,1.75,63.0,mek'ele,197,827,425,118,404,716,1553,11,24,299,30,965,83,506,45,562,111,544,tsgabu-gebremaryam-grmay,https://www.procyclingstats.com/rider/tsgabu-gebremaryam-grmay
308,michael  hepburn ,team jayco alula,team-jayco-alula-2023,1991-08-17,australia,1.86,77.0,brisbane,185,321,1425,118,80,587,2295,3,16,393,60,652,38,786,27,769,139,446,michael-hepburn,https://www.procyclingstats.com/rider/michael-hepburn
309,lukas  pöstlberger ,team jayco alula,team-jayco-alula-2023,1992-01-10,austria,1.82,70.0,vöcklabruck,561,239,331,303,368,778,730,5,14,447,37,873,129,382,38,628,181,353,lukas-postlberger,https://www.procyclingstats.com/rider/lukas-postlberger
