,fullname,team,birthdate,country,height,weight,birthplace,one_day_race_pts,gc_pts,tt_pts,sprint_pts,climb_pts,pcs_ranking,uci_ranking,number_wins,pts_pcs_2023,rank_pcs_2023,pts_pcs_2022,rank_pcs_2022,pts_pcs_2021,rank_pcs_2021,pts_pcs_2020,rank_pcs_2020,pts_pcs_2019,rank_pcs_2019,rider_code,rider_url
238,Yves  Lampaert ,Soudal - Quick Step,10/04/1991,Belgium,1.8,75,Izegem,2930,1089,2145,1554,752,153,168,15,21,339,371,158,647,64,702,37,961,37,yves-lampaert,https://www.procyclingstats.com/rider/yves-lampaert
239,Dries  Devenyns ,Soudal - Quick Step,22/07/1983,Belgium,1.77,65,Leuven,1579,1831,794,665,1788,881,1812,7,10,517,30,968,57,638,388,88,208,308,dries-devenyns,https://www.procyclingstats.com/rider/dries-devenyns
240,Florian  Sénéchal ,Soudal - Quick Step,10/07/1993,France,1.79,77,Cambrai,2809,664,196,1616,912,169,202,5,5,718,406,146,807,45,735,33,486,129,florian-senechal,https://www.procyclingstats.com/rider/florian-senechal
241,Tim  Merlier ,Soudal - Quick Step,30/10/1992,Belgium,1.85,80,Wortegem-Petegem,2521,58,3,3104,130,22,22,27,204,25,951,36,1164,19,487,65,380,167,tim-merlier,https://www.procyclingstats.com/rider/tim-merlier
242,Fabio  Jakobsen ,Soudal - Quick Step,31/08/1996,Netherlands,1.81,78,Gorinchem,1514,84,38,3054,292,65,66,39,88,114,854,46,700,57,283,129,773,64,fabio-jakobsen,https://www.procyclingstats.com/rider/fabio-jakobsen
243,Kasper  Asgreen ,Soudal - Quick Step,08/02/1995,Denmark,1.92,75,Kolding,1432,504,1755,156,1152,349,160,10,0,0,275,218,1161,20,431,71,788,63,kasper-asgreen,https://www.procyclingstats.com/rider/kasper-asgreen
244,Michael  Mørkøv ,Soudal - Quick Step,30/04/1985,Denmark,1.83,71,Kokkedal,1163,918,339,1497,462,398,495,5,18,380,118,413,305,175,148,229,419,146,michael-morkov,https://www.procyclingstats.com/rider/michael-morkov
245,Fausto  Masnada ,Soudal - Quick Step,06/11/1993,Italy,1.82,65,Bergamo,569,1508,166,55,1464,639,878,6,1,857,219,266,621,71,427,73,596,91,fausto-masnada,https://www.procyclingstats.com/rider/fausto-masnada
246,Mattia  Cattaneo ,Soudal - Quick Step,25/10/1990,Italy,1.84,67,Alzano Lombardo,680,1260,1314,160,1574,495,895,3,16,406,82,546,769,51,178,186,411,152,mattia-cattaneo,https://www.procyclingstats.com/rider/mattia-cattaneo
247,Pieter  Serry ,Soudal - Quick Step,21/11/1988,Belgium,1.86,66,Aalter,1079,779,230,496,1110,654,955,0,17,382,49,737,64,608,75,399,193,334,pieter-serry,https://www.procyclingstats.com/rider/pieter-serry
248,Jan  Hirt ,Soudal - Quick Step,21/01/1991,Czech Republic,1.81,62,Třebíč,129,1483,30,118,1532,156,133,5,24,302,575,79,126,386,81,375,380,168,jan-hirt,https://www.procyclingstats.com/rider/jan-hirt
249,Davide  Ballerini ,Soudal - Quick Step,21/09/1994,Italy,1.83,77,Cantù,1289,160,133,821,860,185,224,10,71,140,281,216,497,102,334,106,313,202,davide-ballerini,https://www.procyclingstats.com/rider/davide-ballerini
250,Rémi  Cavagna ,Soudal - Quick Step,10/08/1995,France,1.86,78,Clermont-Ferrand,365,763,2066,178,570,193,243,8,54,171,279,217,354,147,339,105,360,179,remi-cavagna,https://www.procyclingstats.com/rider/remi-cavagna
251,Josef  Černý ,Soudal - Quick Step,11/05/1993,Czech Republic,1.88,77,Frýdek-Místek,189,642,1264,378,370,333,437,10,12,468,153,342,194,272,363,95,111,545,josef-cerny,https://www.procyclingstats.com/rider/josef-cerny
252,Bert Van Lerberghe ,Soudal - Quick Step,29/09/1992,Belgium,1.9,83,Kortrijk,1077,108,48,1260,78,388,378,0,12,469,148,347,133,372,103,314,30,1119,bert-van-lerberghe,https://www.procyclingstats.com/rider/bert-van-lerberghe
253,James  Knox ,Soudal - Quick Step,04/11/1995,Great Britain,1.73,58,Kendal,116,999,52,26,860,448,767,0,5,707,104,448,159,332,290,125,501,124,james-knox,https://www.procyclingstats.com/rider/james-knox
254,Tim  Declercq ,Soudal - Quick Step,21/03/1989,Belgium,1.9,78,Leuven,697,413,26,424,106,880,0,0,0,0,81,551,67,592,301,121,125,483,tim-declercq,https://www.procyclingstats.com/rider/tim-declercq
255,Andrea  Bagioli ,Soudal - Quick Step,23/03/1999,Italy,1.76,60,Sondrio,602,258,84,15,870,142,108,4,79,126,349,172,320,165,321,115,80,713,andrea-bagioli,https://www.procyclingstats.com/rider/andrea-bagioli
256,Mauri  Vansevenant ,Soudal - Quick Step,01/06/1999,Belgium,1.75,60,Ostend,393,578,35,23,770,102,126,2,167,44,489,105,442,117,20,872,54,880,mauri-vansevenant,https://www.procyclingstats.com/rider/mauri-vansevenant
257,Mauro  Schmid ,Soudal - Quick Step,04/12/1999,Switzerland,1.87,70,Bülach,186,491,272,5,690,61,51,3,177,37,609,73,115,415,51,509,0,0,mauro-schmid,https://www.procyclingstats.com/rider/mauro-schmid
258,Jannik  Steimle ,Soudal - Quick Step,04/04/1996,Germany,1.87,73,Weilheim an der Teck,267,332,538,412,296,434,388,6,18,378,97,475,193,274,223,152,214,299,jannik-steimle,https://www.procyclingstats.com/rider/jannik-steimle
259,Casper  Pedersen ,Soudal - Quick Step,15/03/1996,Denmark,1.86,74,Copenhagen,383,291,174,340,160,384,379,3,117,90,20,1151,112,426,207,159,102,581,casper-pedersen,https://www.procyclingstats.com/rider/casper-pedersen
260,Louis  Vervaeke ,Soudal - Quick Step,06/10/1993,Belgium,1.81,68,Ronse,308,433,173,28,422,466,595,0,67,144,78,563,112,429,102,316,40,997,louis-vervaeke,https://www.procyclingstats.com/rider/louis-vervaeke
261,Ilan Van Wilder ,Soudal - Quick Step,14/05/2000,Belgium,1.71,64,Jette,130,358,273,16,558,191,203,0,175,38,227,259,110,434,26,777,51,901,ilan-van-wilder,https://www.procyclingstats.com/rider/ilan-van-wilder
262,Ethan  Vernon ,Soudal - Quick Step,26/08/2000,Great Britain,1.88,74,Bedford,205,10,159,284,113,165,172,6,175,39,232,255,24,989,0,0,6,1990,ethan-vernon,https://www.procyclingstats.com/rider/ethan-vernon
263,Stan Van Tricht ,Soudal - Quick Step,20/09/1999,Belgium,1.74,64,Leuven,186,24,15,75,66,377,411,0,37,231,109,432,75,543,0,0,0,0,stan-van-tricht,https://www.procyclingstats.com/rider/stan-van-tricht
264,Martin  Svrček ,Soudal - Quick Step,17/02/2003,Slovakia,1.75,66,Nesluša,7,0,22,0,0,1742,1110,0,0,0,7,1729,0,0,0,0,0,0,martin-svrcek,https://www.procyclingstats.com/rider/martin-svrcek
265,Nacer  Bouhanni ,Team Arkéa Samsic,25/07/1990,France,1.75,65,Épinal,4478,464,51,7777,1550,215,144,70,2,838,388,153,520,97,538,60,291,216,nacer-bouhanni,https://www.procyclingstats.com/rider/nacer-bouhanni
266,Warren  Barguil ,Team Arkéa Samsic,28/10/1991,France,1.82,61,Hennebont,2336,2653,106,232,4361,71,61,8,34,243,766,52,529,90,671,39,606,90,warren-barguil,https://www.procyclingstats.com/rider/warren-barguil
267,Hugo  Hofstetter ,Team Arkéa Samsic,13/02/1994,France,1.7,65,Altkirch,2537,135,0,1932,520,52,49,3,124,83,889,43,477,106,326,110,486,128,hugo-hofstetter,https://www.procyclingstats.com/rider/hugo-hofstetter
268,Maxime  Bouet ,Team Arkéa Samsic,03/11/1986,France,1.84,67,Belley,727,1549,397,732,1122,547,529,5,0,0,140,362,124,390,9,1173,30,1111,maxime-bouet,https://www.procyclingstats.com/rider/maxime-bouet
269,Nicolas  Edet ,Team Arkéa Samsic,02/12/1987,France,1.76,60,La Ferté-Bernard,475,1575,74,484,1442,284,311,2,0,0,205,277,54,662,155,222,256,253,nicolas-edet,https://www.procyclingstats.com/rider/nicolas-edet
270,Laurent  Pichon ,Team Arkéa Samsic,19/07/1986,France,1.78,69,Quimper,1670,634,84,1404,324,309,320,3,0,0,187,300,100,461,34,673,31,1099,laurent-pichon,https://www.procyclingstats.com/rider/laurent-pichon
271,Anthony  Delaplace ,Team Arkéa Samsic,11/09/1989,France,1.81,65,Valognes,1127,843,539,797,490,304,298,2,5,713,190,297,186,285,76,398,205,312,anthony-delaplace,https://www.procyclingstats.com/rider/anthony-delaplace
272,Amaury  Capiot ,Team Arkéa Samsic,25/06/1993,Belgium,1.87,69,Tongeren,1790,203,10,1721,470,111,114,2,0,0,658,63,272,203,349,102,374,170,amaury-capiot,https://www.procyclingstats.com/rider/amaury-capiot
273,Daniel  McLay ,Team Arkéa Samsic,03/01/1992,Great Britain,1.85,72,Wellington,1081,210,100,2209,182,275,408,10,0,0,296,206,240,229,141,242,132,458,daniel-mclay,https://www.procyclingstats.com/rider/daniel-mclay
274,Luca  Mozzato ,Team Arkéa Samsic,15/02/1998,Italy,1.78,67,Arzignano,1003,86,0,820,363,66,67,0,47,187,658,64,363,143,129,262,44,957,luca-mozzato,https://www.procyclingstats.com/rider/luca-mozzato
275,Élie  Gesbert ,Team Arkéa Samsic,01/07/1995,France,1.81,63,Saint-Brieuc,282,666,12,110,764,335,364,2,32,255,263,230,322,164,6,1288,261,250,elie-gesbert,https://www.procyclingstats.com/rider/elie-gesbert
276,Clément  Champoussin ,Team Arkéa Samsic,29/05/1998,France,1.8,61,Nice,457,374,71,14,1034,259,286,1,51,177,268,227,500,101,101,322,123,491,clement-champoussin,https://www.procyclingstats.com/rider/clement-champoussin
277,Łukasz  Owsian ,Team Arkéa Samsic,24/02/1990,Poland,1.81,66,Toruń,326,548,98,296,130,481,621,0,10,535,147,350,68,585,27,771,73,758,lukasz-owsian,https://www.procyclingstats.com/rider/lukasz-owsian
278,Jenthe  Biermans ,Team Arkéa Samsic,30/10/1995,Belgium,1.84,78,Geel,600,252,56,182,268,150,138,1,166,45,232,254,124,392,35,661,148,424,jenthe-biermans,https://www.procyclingstats.com/rider/jenthe-biermans
279,Matis  Louvel ,Team Arkéa Samsic,19/07/1999,France,1.87,73,Mont Saint Aignan,755,80,67,70,262,106,89,2,30,261,564,84,228,235,17,933,9,1751,matis-louvel,https://www.procyclingstats.com/rider/matis-louvel
280,Cristián  Rodríguez ,Team Arkéa Samsic,03/03/1995,Spain,1.78,56,El Ejido,136,624,36,1,446,357,387,2,62,154,207,275,247,224,67,436,73,759,cristian-rodriguez,https://www.procyclingstats.com/rider/cristian-rodriguez
281,Kévin  Vauquelin ,Team Arkéa Samsic,26/04/2001,France,1.76,69,Bayeux,77,510,237,46,288,73,78,2,179,36,549,88,28,920,0,0,0,0,kevin-vauquelin,https://www.procyclingstats.com/rider/kevin-vauquelin
282,Kévin  Ledanois ,Team Arkéa Samsic,13/07/1993,France,1.81,67,Noisy-le-Sec,404,221,75,246,176,656,835,0,43,203,18,1195,43,745,93,334,113,532,kevin-ledanois,https://www.procyclingstats.com/rider/kevin-ledanois
283,Clément  Russo ,Team Arkéa Samsic,20/01/1995,France,1.86,73,Lyon,356,186,42,276,88,418,728,1,16,397,119,409,157,333,31,708,213,300,clement-russo,https://www.procyclingstats.com/rider/clement-russo
284,Thibault  Guernalec ,Team Arkéa Samsic,31/07/1997,France,1.85,71,Châteaulin,46,252,553,28,97,756,787,0,20,350,112,426,97,464,90,346,61,828,thibault-guernalec,https://www.procyclingstats.com/rider/thibault-guernalec
285,Simon  Guglielmi ,Team Arkéa Samsic,01/07/1997,France,1.8,66,Chambéry,115,106,3,32,268,477,752,0,11,482,111,427,60,621,52,502,10,1732,simon-guglielmi,https://www.procyclingstats.com/rider/simon-guglielmi
286,David  Dekker ,Team Arkéa Samsic,02/02/1998,Netherlands,1.9,80,Turnhout,112,10,73,334,47,1025,1825,0,18,375,10,1532,120,401,70,418,24,1248,david-dekker,https://www.procyclingstats.com/rider/david-dekker
287,Alan  Riou ,Team Arkéa Samsic,02/04/1997,France,1.76,68,Lannion,190,10,65,100,68,1065,2236,1,0,0,31,948,127,385,0,0,18,1375,alan-riou,https://www.procyclingstats.com/rider/alan-riou
288,Michel  Ries ,Team Arkéa Samsic,11/03/1998,Luxembourg,1.84,67,Luxembourg,100,94,50,1,136,661,563,0,4,778,57,671,62,613,47,542,30,1110,michel-ries,https://www.procyclingstats.com/rider/michel-ries
289,Louis  Barré ,Team Arkéa Samsic,06/04/2000,France,1.84,68,Nantes,66,46,0,4,46,452,479,0,28,272,80,554,8,1478,0,0,1,2490,louis-barre,https://www.procyclingstats.com/rider/louis-barre
290,Donavan  Grondin ,Team Arkéa Samsic,26/09/2000,France,1.83,77,Saint-Pierre,82,11,8,55,18,685,638,0,13,456,77,566,7,1554,1,1678,2,2446,donavan-grondin,https://www.procyclingstats.com/rider/donavan-grondin
291,Alessandro  Verre ,Team Arkéa Samsic,17/11/2001,Italy,1.7,59,Marsicovetere,60,13,1,15,89,613,643,0,15,438,57,677,13,1262,0,0,0,0,alessandro-verre,https://www.procyclingstats.com/rider/alessandro-verre
292,Mathis Le Berre ,Team Arkéa Samsic,16/04/2001,France,1.76,68,Saint-Brieuc,27,46,0,7,22,585,540,0,22,323,56,682,0,0,0,0,0,0,mathis-le-berre,https://www.procyclingstats.com/rider/mathis-le-berre
293,Andrii  Ponomar ,Team Arkéa Samsic,05/09/2002,Ukraine,1.83,65,Chernihiv,34,44,0,0,17,916,1437,1,0,0,35,893,43,752,0,0,0,0,andrii-ponomar,https://www.procyclingstats.com/rider/andrii-ponomar
294,Ewen  Costiou ,Team Arkéa Samsic,10/11/2002,France,1.76,64,Brest,19,23,26,10,32,742,960,0,24,304,27,1026,1,2131,0,0,0,0,ewen-costiou,https://www.procyclingstats.com/rider/ewen-costiou
295,Michael  Matthews ,Team Jayco AlUla,26/09/1990,Australia,1.78,72,Canberra,6409,812,1602,3228,6430,18,9,39,148,61,1163,22,921,30,656,43,1102,27,michael-matthews,https://www.procyclingstats.com/rider/michael-matthews
296,Simon  Yates ,Team Jayco AlUla,07/08/1992,Great Britain,1.72,58,Bury,765,4315,1013,217,5476,28,21,32,288,9,866,45,907,32,665,40,704,75,simon-yates,https://www.procyclingstats.com/rider/simon-yates
297,Dylan  Groenewegen ,Team Jayco AlUla,21/06/1993,Netherlands,1.77,70,Amsterdam,3090,290,15,6464,392,29,37,65,121,87,1000,30,295,179,146,232,1351,15,dylan-groenewegen,https://www.procyclingstats.com/rider/dylan-groenewegen
298,Zdeněk  Štybar ,Team Jayco AlUla,11/12/1985,Czech Republic,1.83,68,Planá,3719,1434,225,1742,1846,371,470,18,5,684,146,351,279,200,243,142,953,39,zdenek-stybar,https://www.procyclingstats.com/rider/zdenek-stybar
299,Luka  Mezgec ,Team Jayco AlUla,27/06/1988,Slovenia,1.83,72,Kranj,1401,515,33,2880,1528,262,271,19,12,467,247,246,207,254,517,62,427,142,luka-mezgec,https://www.procyclingstats.com/rider/luka-mezgec
300,Luke  Durbridge ,Team Jayco AlUla,09/04/1991,Australia,1.87,78,Greenmount,760,1203,2245,206,287,546,686,13,17,392,78,565,240,230,67,435,170,371,luke-durbridge,https://www.procyclingstats.com/rider/luke-durbridge
301,Alessandro De Marchi ,Team Jayco AlUla,19/05/1986,Italy,1.81,65,San Daniele del Friuli,1011,563,498,151,1868,462,937,6,5,697,101,461,401,127,144,238,145,430,alessandro-de-marchi,https://www.procyclingstats.com/rider/alessandro-de-marchi
302,Christopher  Juul-Jensen ,Team Jayco AlUla,06/07/1989,Denmark,1.83,73,Kilmacanogue,667,1032,357,179,328,668,0,3,5,670,55,688,101,457,50,522,141,441,christopher-juul-jensen,https://www.procyclingstats.com/rider/christopher-juul-jensen
303,Lucas  Hamilton ,Team Jayco AlUla,12/02/1996,Australia,1.84,71,Ararat,220,1042,84,186,1156,290,510,4,10,504,190,298,399,130,192,176,418,147,lucas-hamilton,https://www.procyclingstats.com/rider/lucas-hamilton
304,Lawson  Craddock ,Team Jayco AlUla,20/02/1992,United States,1.78,69,Houston,178,806,1474,182,810,424,746,2,0,0,120,405,132,374,46,556,361,178,lawson-craddock,https://www.procyclingstats.com/rider/lawson-craddock
305,Amund Grøndahl  Jansen ,Team Jayco AlUla,11/02/1994,Norway,1.87,83,Nes,816,507,44,490,263,911,0,2,0,0,35,904,41,765,40,604,727,69,amund-grondahl-jansen,https://www.procyclingstats.com/rider/amund-grondahl-jansen
306,Eddie  Dunbar ,Team Jayco AlUla,01/09/1996,Ireland,1.7,57,Banteer,306,897,151,92,667,239,238,2,0,0,269,225,134,368,195,173,414,149,edward-irl-dunbar,https://www.procyclingstats.com/rider/edward-irl-dunbar
307,Tsgabu  Grmay ,Team Jayco AlUla,25/08/1991,Ethiopia,1.75,63,Mek'ele,197,827,425,118,404,716,1553,11,24,299,30,965,83,506,45,562,111,544,tsgabu-gebremaryam-grmay,https://www.procyclingstats.com/rider/tsgabu-gebremaryam-grmay
308,Michael  Hepburn ,Team Jayco AlUla,17/08/1991,Australia,1.86,77,Brisbane,185,321,1425,118,80,587,2295,3,16,393,60,652,38,786,27,769,139,446,michael-hepburn,https://www.procyclingstats.com/rider/michael-hepburn
309,Lukas  Pöstlberger ,Team Jayco AlUla,10/01/1992,Austria,1.82,70,Vöcklabruck,561,239,331,303,368,778,730,5,14,447,37,873,129,382,38,628,181,353,lukas-postlberger,https://www.procyclingstats.com/rider/lukas-postlberger
310,Chris  Harper ,Team Jayco AlUla,23/11/1994,Australia,1.85,67,Melbourne,184,606,253,140,414,590,697,3,0,0,127,388,163,325,44,575,300,207,chris-harper,https://www.procyclingstats.com/rider/chris-harper
311,Matteo  Sobrero ,Team Jayco AlUla,14/05/1997,Italy,1.77,63,Alba,133,323,950,20,386,160,135,2,8,565,368,159,199,267,46,557,89,654,matteo-sobrero,https://www.procyclingstats.com/rider/matteo-sobrero
312,Filippo  Zana ,Team Jayco AlUla,18/03/1999,Italy,1.85,65,Thiene,161,453,1,13,426,224,197,3,14,449,335,183,290,185,34,676,52,895,filippo-zana,https://www.procyclingstats.com/rider/filippo-zana
313,Elmar  Reinders ,Team Jayco AlUla,14/03/1992,Netherlands,1.91,78,Emmen,410,116,111,616,76,554,400,0,6,618,80,559,79,528,21,866,32,1080,elmar-reinders,https://www.procyclingstats.com/rider/elmar-reinders
314,Kevin  Colleoni ,Team Jayco AlUla,11/11/1999,Italy,1.8,66,Ponte San Pietro,93,212,12,5,210,399,480,0,0,0,201,281,55,654,40,615,34,1065,kevin-colleoni,https://www.procyclingstats.com/rider/kevin-colleoni
315,Callum  Scotson ,Team Jayco AlUla,10/08/1996,Australia,1.84,77,Campbelltown,17,173,50,38,104,534,1154,0,61,155,29,991,30,881,35,670,44,955,callum-scotson,https://www.procyclingstats.com/rider/callum-scotson
316,Jan  Maas ,Team Jayco AlUla,19/02/1996,Netherlands,1.89,70,Bergen op Zoom,119,95,12,49,109,626,1282,0,11,477,61,647,81,517,34,679,23,1276,jan-maas,https://www.procyclingstats.com/rider/jan-maas
317,Felix  Engelhardt ,Team Jayco AlUla,19/08/2000,Germany,1.8,68,Ulm,133,12,0,4,58,419,344,0,17,385,105,446,24,988,2,1583,0,0,felix-engelhardt,https://www.procyclingstats.com/rider/felix-engelhardt
318,Kelland  O'Brien ,Team Jayco AlUla,22/05/1998,Australia,1.92,79,Melbourne,108,11,87,20,40,492,710,0,21,337,83,537,12,1322,0,0,14,1564,kelland-brien,https://www.procyclingstats.com/rider/kelland-brien
319,Campbell  Stewart ,Team Jayco AlUla,12/05/1998,New Zealand,1.81,76,Palmerston North,45,38,30,139,14,962,1960,0,5,706,33,921,68,587,5,1360,1,2514,campbell-stewart,https://www.procyclingstats.com/rider/campbell-stewart
320,Alexandre  Balmer ,Team Jayco AlUla,04/05/2000,Switzerland,1.92,70,La Chaux-de-Fonds,97,11,7,12,35,564,611,0,5,719,79,560,26,948,1,1670,0,0,alexandre-balmer,https://www.procyclingstats.com/rider/alexandre-balmer
321,Blake  Quick ,Team Jayco AlUla,26/02/2000,Australia,1.87,77,Brisbane,4,5,41,213,58,1361,2967,0,6,617,8,1598,0,0,6,1302,75,745,blake-quick,https://www.procyclingstats.com/rider/blake-quick
322,Rudy  Porter ,Team Jayco AlUla,15/12/2000,Australia,1.79,66,None,5,46,1,2,36,989,745,0,0,0,30,981,1,2135,21,864,0,0,rudy-porter,https://www.procyclingstats.com/rider/rudy-porter
323,Jesús David  Peña ,Team Jayco AlUla,08/05/2000,Colombia,1.7,55,Zipaquirá,5,4,0,1,27,1881,0,0,0,0,5,1816,2,1980,0,0,6,1963,jesus-david-pena-jimenez,https://www.procyclingstats.com/rider/jesus-david-pena-jimenez
324,Welay Hagos  Berhe ,Team Jayco AlUla,22/10/2001,Ethiopia,1.7,58,None,4,4,0,0,20,1627,1759,0,0,0,8,1617,0,0,0,0,0,0,welay-hagos-berhe,https://www.procyclingstats.com/rider/welay-hagos-berhe
325,John  Degenkolb ,Team DSM,07/01/1989,Germany,1.79,82,Gera,6009,1161,292,6212,2562,298,381,48,5,681,193,293,401,128,395,85,613,87,john-degenkolb,https://www.procyclingstats.com/rider/john-degenkolb
326,Romain  Bardet ,Team DSM,09/11/1990,France,1.84,65,Brioude,2831,5724,365,312,8044,37,46,10,63,153,977,32,842,43,328,109,810,59,romain-bardet,https://www.procyclingstats.com/rider/romain-bardet
327,Patrick  Bevin ,Team DSM,15/02/1991,New Zealand,1.8,75,Taupo,78,775,1559,693,1172,219,262,9,0,0,292,208,165,319,41,601,356,181,patrick-bevin,https://www.procyclingstats.com/rider/patrick-bevin
328,Alberto  Dainese ,Team DSM,25/03/1998,Italy,1.76,70,Abano Terme,553,138,1,1110,292,121,222,3,32,256,434,136,418,123,145,234,203,318,alberto-dainese,https://www.procyclingstats.com/rider/alberto-dainese
329,Andreas  Leknessund ,Team DSM,21/05/1999,Norway,1.85,72,Tromsø,156,597,336,2,437,101,148,5,24,305,511,101,152,341,183,182,107,565,andreas-leknessund,https://www.procyclingstats.com/rider/andreas-leknessund
330,Chris  Hamilton ,Team DSM,18/05/1995,Australia,1.78,70,Bendigo,142,698,70,13,594,433,473,0,11,481,104,447,178,298,72,412,294,213,chris-hamilton,https://www.procyclingstats.com/rider/chris-hamilton
331,Harm  Vanhoucke ,Team DSM,17/06/1997,Belgium,1.77,65,Kortrijk,98,638,71,38,798,186,283,0,83,118,263,229,302,177,162,212,35,1053,harm-vanhoucke,https://www.procyclingstats.com/rider/harm-vanhoucke
332,Romain  Combaud ,Team DSM,01/04/1991,France,1.75,63,Saint-Doulchard,411,387,0,225,273,633,1975,0,10,520,76,569,68,579,49,530,155,407,romain-combaud,https://www.procyclingstats.com/rider/romain-combaud
333,Martijn  Tusveld ,Team DSM,09/09/1993,Netherlands,1.87,70,Utrecht,148,496,313,110,350,427,1231,0,15,415,121,401,68,583,64,447,164,384,martijn-tusveld,https://www.procyclingstats.com/rider/martijn-tusveld
334,Alex  Edmondson ,Team DSM,22/12/1993,Australia,1.84,75,Miri,172,152,427,233,178,616,793,1,6,643,64,631,46,723,50,515,113,530,alexander-edmondson,https://www.procyclingstats.com/rider/alexander-edmondson
335,Nils  Eekhoff ,Team DSM,23/01/1998,Netherlands,1.91,75,Rijsenhout,315,145,142,462,116,795,0,0,5,735,50,727,184,290,174,192,74,748,nils-eekhoff,https://www.procyclingstats.com/rider/nils-eekhoff
336,Sam  Welsford ,Team DSM,19/01/1996,Australia,1.82,79,Subiaco,231,40,6,483,10,146,232,4,213,22,193,292,0,0,7,1237,0,0,sam-welsford,https://www.procyclingstats.com/rider/sam-welsford
337,Marius  Mayrhofer ,Team DSM,18/09/2000,Germany,1.82,70,Tübingen,260,20,78,68,152,247,240,1,250,15,7,1619,39,781,2,1500,2,2342,marius-mayrhofer,https://www.procyclingstats.com/rider/marius-mayrhofer
338,Kevin  Vermaerke ,Team DSM,16/10/2000,United States,1.79,67,Rancho Santa Margarita,88,155,10,10,245,383,585,0,95,104,83,542,30,894,24,826,32,1094,kevin-vermaerke,https://www.procyclingstats.com/rider/kevin-vermaerke
339,Casper van Uden ,Team DSM,22/07/2001,Netherlands,1.81,0,Schiedam,163,24,5,216,26,364,287,0,6,621,145,354,71,560,5,1347,0,0,casper-van-uden,https://www.procyclingstats.com/rider/casper-van-uden
340,Niklas  Märkl ,Team DSM,03/03/1999,Germany,1.85,70,Queidersbach,118,34,45,148,12,839,2341,0,10,542,36,878,81,518,7,1224,28,1155,niklas-markl,https://www.procyclingstats.com/rider/niklas-markl
341,Henri  Vandenabeele ,Team DSM,15/04/2000,Belgium,1.81,0,Deinze,5,141,1,4,219,730,1148,0,0,0,102,456,15,1206,46,551,0,0,henri-vandenabeele,https://www.procyclingstats.com/rider/henri-vandenabeele
342,Oscar  Onley ,Team DSM,13/10/2002,Great Britain,1.73,0,Kelso,5,114,8,5,113,336,425,0,39,220,126,391,0,0,0,0,0,0,oscar-onley,https://www.procyclingstats.com/rider/oscar-onley
343,Marco  Brenner ,Team DSM,27/08/2002,Germany,1.78,59,Augsburg,21,97,79,2,156,404,819,0,0,0,131,377,22,1026,0,0,0,0,marco-brenner,https://www.procyclingstats.com/rider/marco-brenner
344,Jonas Iversby  Hvideberg ,Team DSM,09/02/1999,Norway,1.85,0,Rolvsøy,105,28,2,6,41,1084,1858,0,0,0,31,949,57,634,38,636,7,1921,jonas-iversby-hvideberg,https://www.procyclingstats.com/rider/jonas-iversby-hvideberg
345,Pavel  Bittner ,Team DSM,29/10/2002,Czech Republic,1.86,73,Olomouc,102,14,10,56,40,494,358,0,19,361,80,558,34,821,0,0,0,0,pavel-bittner,https://www.procyclingstats.com/rider/pavel-bittner
346,Florian  Stork ,Team DSM,27/04/1997,Germany,1.84,65,Bünde,37,83,7,13,82,1318,0,0,0,0,31,951,9,1455,32,703,44,956,florian-stork,https://www.procyclingstats.com/rider/florian-stork
347,Matthew  Dinham ,Team DSM,09/04/2000,Australia,1.75,63,None,74,22,8,1,60,566,314,0,10,519,74,576,3,1873,0,0,10,1678,matthew-dinham,https://www.procyclingstats.com/rider/matthew-dinham
348,Max  Poole ,Team DSM,01/03/2003,Great Britain,1.85,0,None,0,75,0,5,62,553,678,0,0,0,86,522,0,0,0,0,0,0,max-poole,https://www.procyclingstats.com/rider/max-poole
349,Sean  Flynn ,Team DSM,02/03/2000,Great Britain,1.77,67,Edinburgh,49,27,12,56,40,726,558,0,11,486,45,781,29,908,0,0,0,0,sean-flynn,https://www.procyclingstats.com/rider/sean-flynn
350,Leon  Heinschke ,Team DSM,08/11/1999,Germany,1.8,70,Frankfurt an der Oder,21,42,53,10,29,1325,0,0,0,0,15,1268,37,794,5,1339,16,1453,leon-heinschke,https://www.procyclingstats.com/rider/leon-heinschke
351,Frederik  Rodenberg ,Team DSM,22/01/1998,Denmark,1.87,73,Værløse,30,11,28,103,0,2236,3123,0,1,888,0,0,1,2067,5,1317,31,1100,frederik-rodenberg,https://www.procyclingstats.com/rider/frederik-rodenberg
352,Tobias Lund  Andresen ,Team DSM,20/08/2002,Denmark,1.81,69,Taastrup,18,3,2,53,18,1159,1610,0,3,805,18,1214,14,1241,0,0,0,0,tobias-lund-andresen,https://www.procyclingstats.com/rider/tobias-lund-andresen
353,Lorenzo  Milesi ,Team DSM,19/03/2002,Italy,1.8,70,San Giovanni Bianco,0,0,34,1,28,1258,973,0,0,0,17,1226,0,0,0,0,0,0,lorenzo-milesi,https://www.procyclingstats.com/rider/lorenzo-milesi
354,Tim  Naberman ,Team DSM,11/05/1999,Netherlands,1.85,70,Genemuiden,5,5,0,3,3,1516,0,0,10,500,0,0,0,0,0,0,0,0,tim-naberman,https://www.procyclingstats.com/rider/tim-naberman
